Frame,Raw_Elbow_Interior,Smoothed_Elbow_Interior,Flexion,HSS,Shoulder_Alignment,Trunk_Lat_Flex,Front_Knee_Flexion
159,104.52,105.01,74.99,6.03,25.02,11.31,2.42
160,108.89,104.11,75.89,6.48,26.39,10.1,4.88
161,104.51,103.22,76.78,6.92,27.66,8.92,7.48
162,102.49,102.44,77.56,7.3,28.72,7.77,10.26
163,95.23,101.87,78.13,7.6,29.52,6.68,13.24
164,102.94,101.62,78.38,7.81,30.0,5.66,16.41
165,104.95,101.77,78.23,7.93,30.14,4.73,19.72
166,105.3,102.39,77.61,7.99,29.94,3.89,23.06
167,105.48,103.56,76.44,7.99,29.43,3.15,26.32
168,104.87,105.31,74.69,7.97,28.68,2.51,29.35
169,107.8,107.66,72.34,7.95,27.76,1.97,31.99
170,107.36,110.59,69.41,7.95,26.76,1.53,34.08
171,111.4,114.07,65.93,7.97,25.79,1.18,35.5
172,117.79,118.01,61.99,8.02,24.95,0.92,36.14
173,120.67,122.31,57.69,8.08,24.33,0.73,35.97
174,126.62,126.82,53.18,8.14,24.0,0.6,34.98
175,130.74,131.39,48.61,8.19,24.03,0.52,33.24
176,133.39,135.84,44.16,8.21,24.45,0.48,30.89
177,137.82,139.96,40.04,8.2,25.28,0.47,28.08
178,142.82,143.58,36.42,8.17,26.5,0.48,25.01
179,144.9,146.51,33.49,8.13,28.09,0.49,21.88
180,147.15,148.6,31.4,8.11,29.98,0.51,18.9
181,151.64,149.71,30.29,8.13,32.12,0.53,16.27
182,150.73,149.79,30.21,8.2,34.42,0.54,14.17
183,149.74,148.82,31.18,8.34,36.81,0.54,12.74
184,151.02,146.82,33.18,8.55,39.21,0.54,12.1
185,150.57,143.91,36.09,8.82,41.54,0.54,12.34
186,146.54,140.26,39.74,9.12,43.74,0.54,13.47
187,145.45,136.09,43.91,9.44,45.78,0.55,15.49
188,138.18,131.66,48.34,9.72,47.6,0.58,18.33
189,133.61,127.26,52.74,9.93,49.2,0.62,21.88
190,117.98,123.18,56.82,10.05,50.57,0.69,25.97
191,118.78,119.68,60.32,10.04,51.7,0.79,30.4
192,108.56,116.98,63.02,9.88,52.61,0.92,34.91
193,103.36,115.25,64.75,9.57,53.31,1.07,39.24
194,93.05,114.55,65.45,9.11,53.81,1.24,43.11
195,102.35,114.87,65.13,8.53,54.11,1.42,46.28
196,114.22,116.12,63.88,7.85,54.24,1.62,48.51
197,116.75,118.12,61.88,7.13,54.21,1.81,49.67
198,124.48,120.62,59.38,6.42,54.02,1.99,49.66
199,130.54,123.36,56.64,5.77,53.7,2.15,48.49
